CustomerID,Age,Gender,City,Postcode,IncomeBand,CreditScore,PolicyStatus,Beneficiary
CUST00048,72,Female,London,M97 4FN,£15–25k,728,Active,Spouse
CUST00049,30,Male,Edinburgh,EH28 7BF,£40–60k,747,Active,Spouse
CUST00050,59,Female,Bristol,SW50 5ZZ,£25–40k,724,Active,Spouse
CUST00051,41,Male,Edinburgh,G55 9VW,£15–25k,654,Active,Spouse
CUST00052,43,Female,Edinburgh,B25 5GB,£25–40k,720,Active,Spouse
CUST00053,45,Female,Belfast,CF8 6BB,£25–40k,787,Active,Spouse
CUST00054,54,Male,Belfast,EH65 9FB,<£15k,648,Active,Spouse
CUST00055,28,Female,Cardiff,M24 2TC,>£60k,728,Active,Spouse
CUST00056,41,Male,Leeds,BS16 4ST,>£60k,742,Active,Spouse
CUST00057,52,Female,London,BT11 7VS,>£60k,695,Active,Spouse
CUST00058,32,Female,Belfast,CF41 5GV,£15–25k,609,Active,Spouse
CUST00059,48,Female,Liverpool,LS34 7EV,£40–60k,625,Active,Spouse
CUST00060,31,Female,Glasgow,EH41 2AO,>£60k,709,Active,Spouse
CUST00061,45,Female,Belfast,BT13 2RG,£40–60k,631,Active,Spouse
CUST00062,61,Male,Cardiff,G17 6CH,£15–25k,763,Active,Spouse
CUST00063,52,Female,Liverpool,G21 8RW,>£60k,730,Active,Spouse
CUST00064,52,Female,Glasgow,BT84 9AV,£25–40k,850,Active,Spouse
CUST00065,59,Female,Cardiff,G85 2EI,£15–25k,739,Active,Spouse
CUST00066,33,Female,Manchester,M96 9EI,<£15k,685,Active,Spouse
CUST00067,79,Male,Glasgow,BT27 6GV,£25–40k,587,Active,Spouse
CUST00068,37,Male,Glasgow,CF63 5BC,£25–40k,765,Active,Spouse
CUST00069,34,Female,Bristol,G6 1KY,<£15k,740,Active,Spouse
CUST00070,45,Female,Birmingham,G21 8RW,£25–40k,660,Active,Spouse
CUST00071,18,Female,Bristol,CF2 2CW,£15–25k,711,Active,Spouse
CUST00072,33,Male,Birmingham,CF5 6SR,>£60k,693,Active,Spouse
CUST00073,52,Male,Birmingham,BS17 1JL,<£15k,751,Active,Spouse
CUST00074,37,Female,London,L27 4VD,£40–60k,660,Active,Spouse
CUST00075,26,Female,Liverpool,CF53 3HF,£40–60k,755,Active,Spouse
CUST00076,76,Male,Birmingham,BS4 3XK,£15–25k,761,Active,Spouse
CUST00077,64,Male,Bristol,LS35 3ZW,<£15k,657,Active,Spouse
CUST00078,51,Male,Manchester,BS5 8HG,<£15k,746,Active,Spouse
CUST00079,18,Male,Edinburgh,L40 4HA,£25–40k,638,Active,Spouse
CUST00080,69,Female,Leeds,BS43 5CY,<£15k,614,Active,Spouse
CUST00081,66,Female,Glasgow,L83 9MV,>£60k,613,Active,Spouse
CUST00082,30,Male,Cardiff,L4 2IF,£25–40k,727,Active,Spouse
CUST00083,46,Female,Belfast,G5 2TN,£25–40k,676,Active,Spouse
CUST00084,68,Male,Liverpool,L56 9DM,£25–40k,625,Active,Spouse
CUST00085,42,Female,Belfast,LS33 1WN,>£60k,735,Active,Spouse
CUST00086,49,Male,London,CF69 4LN,£15–25k,662,Active,Spouse
CUST00087,36,Male,Manchester,L80 6VD,£40–60k,750,Active,Spouse
CUST00088,58,Female,Glasgow,CF40 7KM,£40–60k,718,Active,Spouse
CUST00089,32,Female,Glasgow,CF17 4NV,£40–60k,666,Active,Spouse
CUST00090,44,Male,Bristol,B79 5MR,£40–60k,707,Active,Spouse
CUST00091,53,Female,London,G37 4NZ,£25–40k,687,Active,Spouse
CUST00092,57,Male,Belfast,BT84 6OO,>£60k,748,Active,Spouse
CUST00093,64,Male,Edinburgh,LS66 8ZZ,>£60k,701,Active,Spouse
CUST00094,49,Female,Birmingham,M37 9VU,£25–40k,692,Active,Spouse
CUST00095,32,Male,Belfast,L12 4VJ,£15–25k,825,Active,Spouse
CUST00096,62,Female,Leeds,LS19 1BH,£40–60k,747,Active,Spouse
CUST00097,44,Male,Edinburgh,BT99 2ON,£25–40k,646,Active,Spouse
CUST00098,59,Male,Belfast,LS92 7PM,<£15k,691,Active,Spouse
CUST00099,51,Female,Leeds,B84 1YY,<£15k,666,Active,Spouse
CUST00100,48,Male,Manchester,BS29 3ZW,£40–60k,669,Active,Spouse
CUST00101,37,Male,Cardiff,EH7 9HD,>£60k,713,Active,Spouse
CUST00102,23,Female,Edinburgh,B60 9RT,>£60k,615,Active,Spouse
CUST00103,34,Female,Liverpool,EH79 9NR,£25–40k,687,Active,Spouse
CUST00104,57,Male,Edinburgh,B96 8OI,£25–40k,690,Active,Spouse
CUST00105,44,Male,Leeds,G99 9PU,<£15k,682,Active,Spouse
CUST00106,49,Female,Leeds,G57 2WJ,£25–40k,650,Active,Spouse
CUST00107,43,Male,Leeds,G43 6RC,>£60k,724,Active,Spouse
CUST00108,48,Male,Birmingham,B30 7WE,£25–40k,700,Active,Spouse
CUST00109,45,Female,Leeds,M54 7KR,£40–60k,729,Active,Spouse
CUST00110,77,Female,Edinburgh,BS8 4NM,>£60k,653,Active,Spouse
CUST00111,77,Male,Belfast,SW98 7PA,<£15k,651,Active,Spouse
CUST00112,18,Female,Liverpool,G97 7NR,<£15k,668,Active,Spouse
CUST00113,50,Male,Cardiff,BT29 8HI,£40–60k,812,Active,Spouse
CUST00114,31,Female,Bristol,EH4 7KV,£40–60k,729,Active,Spouse
CUST00115,25,Female,Bristol,B60 3TR,>£60k,809,Active,Spouse
CUST00116,62,Female,London,BS76 1CU,<£15k,671,Active,Spouse
CUST00117,19,Female,Bristol,B60 3BI,£40–60k,781,Active,Spouse
CUST00118,43,Male,Bristol,L28 8KK,£15–25k,774,Active,Spouse
CUST00119,45,Female,Bristol,G97 7IC,>£60k,702,Active,Spouse
CUST00120,38,Male,Edinburgh,SW96 9BL,<£15k,737,Active,Spouse
CUST00121,46,Male,Leeds,M84 1YA,£40–60k,730,Active,Spouse
CUST00122,21,Male,Leeds,LS3 3HE,£40–60k,776,Active,Spouse
CUST00123,68,Female,Edinburgh,M73 4OW,>£60k,706,Active,Spouse
CUST00124,75,Female,Glasgow,L22 2YF,£25–40k,805,Active,Spouse
CUST00125,54,Female,Glasgow,M75 1JS,£15–25k,782,Active,Spouse
CUST00126,60,Male,Bristol,BS92 4CS,£25–40k,594,Active,Spouse
CUST00127,40,Female,Leeds,M90 5VT,£40–60k,743,Active,Spouse
CUST00128,69,Female,Manchester,BT6 6RN,>£60k,617,Active,Spouse
CUST00129,19,Male,Liverpool,M65 6AN,>£60k,696,Active,Spouse
CUST00130,18,Female,Edinburgh,M56 6UO,£15–25k,694,Active,Spouse
CUST00131,50,Male,Birmingham,BS23 9UI,£15–25k,643,Active,Spouse
CUST00132,44,Female,Belfast,CF62 8NX,<£15k,757,Active,Spouse
CUST00133,37,Male,Belfast,G42 4CI,<£15k,652,Active,Spouse
CUST00134,43,Male,Edinburgh,LS97 8ST,£15–25k,637,Active,Spouse
CUST00135,74,Male,Bristol,L4 8KF,£40–60k,702,Active,Spouse
CUST00136,34,Female,Edinburgh,LS46 5KI,>£60k,712,Active,Spouse
CUST00137,43,Female,Belfast,G72 1QG,£40–60k,686,Active,Spouse
CUST00138,37,Male,Manchester,LS93 7PR,£25–40k,665,Active,Spouse
CUST00139,22,Male,Leeds,EH83 8OZ,£40–60k,782,Active,Spouse
CUST00140,53,Female,London,M38 4MW,£25–40k,718,Active,Spouse
CUST00141,43,Female,Leeds,G85 6PR,£15–25k,642,Active,Spouse
CUST00142,33,Male,Cardiff,L55 9KL,£15–25k,614,Active,Spouse
CUST00143,35,Male,Edinburgh,G40 5HD,>£60k,635,Active,Spouse
CUST00144,70,Female,Leeds,L16 9YW,£25–40k,752,Active,Spouse
CUST00145,46,Female,Birmingham,LS28 8IX,£40–60k,648,Active,Spouse
CUST00146,29,Male,Belfast,CF77 5DG,£15–25k,688,Active,Spouse
CUST00147,58,Male,Glasgow,LS47 3JA,>£60k,814,Active,Spouse
CUST00148,24,Male,Cardiff,B36 1BR,<£15k,733,Active,Spouse
CUST00149,35,Male,Glasgow,B82 8DA,£15–25k,670,Active,Spouse
CUST00150,45,Male,Belfast,G61 8OK,>£60k,650,Active,Spouse
CUST00151,41,Female,Birmingham,SW33 8DC,>£60k,645,Active,Spouse
CUST00152,36,Male,Bristol,EH10 1EE,£40–60k,745,Active,Spouse
CUST00153,46,Female,Belfast,G11 4DR,£15–25k,745,Active,Spouse
CUST00154,35,Male,Bristol,BT77 4YQ,£25–40k,734,Active,Spouse
CUST00155,20,Male,Bristol,EH57 5SN,£25–40k,702,Active,Spouse
CUST00156,54,Male,Glasgow,BT80 1TX,£25–40k,600,Active,Spouse
CUST00157,35,Male,Manchester,LS81 4IV,<£15k,702,Active,Spouse
CUST00158,60,Male,Manchester,B31 3RC,£40–60k,665,Active,Spouse
CUST00159,52,Male,Birmingham,SW53 8WT,£25–40k,786,Active,Spouse
CUST00160,53,Female,Edinburgh,G5 4JW,>£60k,687,Active,Spouse
CUST00161,50,Female,Glasgow,EH10 4IZ,<£15k,663,Active,Spouse
CUST00162,46,Female,Belfast,LS55 2RH,£40–60k,690,Active,Spouse
CUST00163,50,Male,Birmingham,G19 2BF,<£15k,675,Active,Spouse
CUST00164,50,Female,Glasgow,BT96 5OD,£25–40k,674,Active,Spouse
CUST00165,58,Male,Edinburgh,G90 7IQ,£40–60k,680,Active,Spouse
CUST00166,18,Male,Cardiff,EH57 2TB,£15–25k,639,Active,Spouse
CUST00167,45,Male,Bristol,L78 5AC,>£60k,800,Active,Spouse
CUST00168,57,Female,Leeds,BT76 1YV,£25–40k,567,Active,Spouse
CUST00169,22,Male,Glasgow,BT6 3PQ,£40–60k,768,Active,Spouse
CUST00170,54,Female,Edinburgh,G24 7UP,£40–60k,836,Active,Spouse
CUST00171,38,Male,Manchester,EH45 7KK,£40–60k,649,Active,Spouse
CUST00172,46,Female,Manchester,B43 7WP,>£60k,671,Active,Spouse
CUST00173,60,Male,Glasgow,BS98 9BO,£40–60k,669,Active,Spouse
CUST00174,40,Female,Manchester,L33 6DY,<£15k,641,Active,Spouse
CUST00175,56,Female,Bristol,CF1 9ON,£25–40k,644,Active,Spouse
CUST00176,51,Male,London,LS67 6TY,£15–25k,812,Active,Spouse
CUST00177,18,Male,Edinburgh,EH98 1GI,>£60k,789,Active,Spouse
CUST00178,49,Female,Cardiff,B37 8WP,£25–40k,632,Active,Spouse
CUST00179,46,Female,Manchester,SW81 4WF,>£60k,743,Active,Spouse
CUST00180,33,Female,Glasgow,CF2 9NC,£25–40k,728,Active,Spouse
CUST00181,68,Female,Leeds,M60 2UE,>£60k,669,Active,Spouse
CUST00182,30,Female,Edinburgh,G66 5NP,£40–60k,692,Active,Spouse
CUST00183,45,Female,Edinburgh,LS59 9EM,£15–25k,765,Active,Spouse
CUST00184,42,Female,Leeds,BT66 3CI,<£15k,674,Active,Spouse
CUST00185,29,Female,Bristol,L65 5AJ,>£60k,600,Active,Spouse
CUST00186,25,Female,Glasgow,BT75 8EO,£25–40k,622,Active,Spouse
CUST00187,41,Male,Cardiff,EH45 6RY,<£15k,609,Active,Spouse
CUST00188,18,Female,Cardiff,BS59 6GW,£15–25k,696,Active,Spouse
CUST00189,72,Male,Leeds,BT50 4YN,£40–60k,767,Active,Spouse
CUST00190,40,Male,London,L96 8WZ,>£60k,633,Active,Spouse
CUST00191,83,Male,Bristol,BS85 3PB,£40–60k,703,Active,Spouse
CUST00192,47,Male,Birmingham,CF76 6DO,<£15k,691,Active,Spouse
CUST00193,44,Female,Manchester,CF59 1XE,<£15k,667,Active,Spouse
CUST00194,41,Female,Bristol,B10 8ZI,£25–40k,790,Active,Spouse
CUST00195,63,Male,Liverpool,BT89 7UC,<£15k,575,Active,Spouse
CUST00196,23,Female,Liverpool,CF49 6UW,£25–40k,653,Active,Spouse
CUST00197,59,Male,Edinburgh,CF5 2HU,£15–25k,776,Active,Spouse
CUST00198,55,Male,Glasgow,LS96 2ND,<£15k,632,Active,Spouse
CUST00199,37,Female,Manchester,EH22 5AB,£15–25k,729,Active,Spouse
CUST00200,41,Female,Liverpool,SW38 6LN,>£60k,677,Active,Spouse
CUST00201,39,Female,Birmingham,LS68 7SV,£15–25k,769,Active,Spouse
CUST00202,53,Male,Birmingham,B23 2TM,<£15k,681,Active,Spouse
CUST00203,49,Male,Belfast,LS64 3HO,>£60k,624,Active,Spouse
CUST00204,37,Male,Glasgow,EH33 1ZO,£15–25k,762,Active,Spouse
CUST00205,21,Female,Glasgow,CF21 2OL,£25–40k,736,Active,Spouse
CUST00206,18,Male,Belfast,G82 7WI,>£60k,801,Active,Spouse
CUST00207,36,Female,Edinburgh,G26 7PD,£25–40k,723,Active,Spouse
CUST00208,46,Male,Leeds,BS74 6SJ,<£15k,709,Active,Spouse
CUST00209,49,Female,Glasgow,SW85 7IA,£15–25k,597,Active,Spouse
CUST00210,47,Female,Belfast,SW78 8JY,£25–40k,688,Active,Spouse
CUST00211,36,Male,Leeds,BT46 4UG,>£60k,653,Active,Spouse
CUST00212,47,Male,Belfast,G87 3UD,£25–40k,641,Active,Spouse
CUST00213,60,Male,London,G57 1SL,<£15k,728,Active,Spouse
CUST00214,48,Female,Birmingham,M38 6XN,£40–60k,758,Active,Spouse
CUST00215,18,Female,Birmingham,LS17 9LQ,<£15k,623,Active,Spouse
CUST00216,52,Male,Cardiff,G22 5PZ,£25–40k,656,Active,Spouse
CUST00217,35,Male,Glasgow,L15 8CE,£15–25k,615,Active,Spouse
CUST00218,30,Female,Leeds,BS72 6CZ,£25–40k,763,Active,Spouse
CUST00219,52,Female,Bristol,SW34 9DO,£15–25k,711,Active,Spouse
CUST00220,36,Female,Liverpool,G75 7UL,£25–40k,707,Active,Spouse
CUST00221,62,Male,Manchester,LS61 1TR,<£15k,657,Active,Spouse
CUST00222,44,Female,Liverpool,BT29 2UO,£25–40k,806,Active,Spouse
CUST00223,55,Female,Glasgow,BS15 3BB,£40–60k,666,Active,Spouse
CUST00224,54,Male,Glasgow,EH15 2HR,<£15k,605,Active,Spouse
CUST00225,43,Male,Birmingham,BS59 6VX,£25–40k,737,Active,Spouse
CUST00226,50,Female,Cardiff,BS76 3NU,£40–60k,736,Active,Spouse
CUST00227,57,Male,Manchester,EH79 7IB,£25–40k,727,Active,Spouse
CUST00228,51,Male,Liverpool,LS57 8HL,£25–40k,712,Active,Spouse
CUST00229,28,Female,Manchester,L70 6BM,>£60k,763,Active,Spouse
CUST00230,44,Female,Glasgow,LS16 8CV,£40–60k,740,Active,Spouse
CUST00231,59,Male,Leeds,BT3 1ZK,£25–40k,669,Active,Spouse
CUST00232,38,Male,Leeds,B73 4CY,£40–60k,681,Active,Spouse
CUST00233,63,Male,Cardiff,LS76 4HK,£15–25k,646,Active,Spouse
CUST00234,66,Male,Birmingham,BT1 5EE,£25–40k,711,Active,Spouse
CUST00235,49,Male,Cardiff,G23 2VA,<£15k,753,Active,Spouse
CUST00236,46,Female,Birmingham,SW46 4SK,£40–60k,763,Active,Spouse
CUST00237,37,Male,London,B34 1EX,£25–40k,784,Active,Spouse
CUST00238,38,Male,Bristol,CF15 2PO,£40–60k,787,Active,Spouse
CUST00239,38,Male,Liverpool,CF76 2OQ,£15–25k,683,Active,Spouse
CUST00240,29,Male,Leeds,BT6 9JO,<£15k,653,Active,Spouse
CUST00241,44,Male,London,SW62 7NV,£40–60k,714,Active,Spouse
CUST00242,59,Female,Manchester,EH92 8CC,£25–40k,687,Active,Spouse
CUST00243,28,Other,Liverpool,BT19 2EI,£15–25k,722,Active,Spouse
CUST00244,47,Female,Belfast,BT71 6MT,£25–40k,729,Active,Spouse
CUST00245,35,Male,Cardiff,G59 9TN,<£15k,668,Active,Spouse
CUST00246,35,Male,Manchester,M84 9XG,>£60k,771,Active,Spouse
CUST00247,66,Female,Bristol,EH30 7KO,<£15k,665,Active,Spouse
CUST00248,36,Male,Bristol,BS94 2KN,£25–40k,737,Active,Spouse
CUST00249,68,Male,Liverpool,G48 3VP,>£60k,807,Active,Spouse
CUST00250,35,Female,Manchester,M11 2ND,>£60k,676,Active,Spouse
CUST00251,49,Female,Liverpool,B72 1SR,£25–40k,720,Active,Spouse
CUST00252,42,Male,Cardiff,L86 2NL,£15–25k,652,Active,Spouse
CUST00253,44,Male,Bristol,SW37 5LD,£15–25k,807,Active,Spouse
CUST00254,37,Female,Belfast,CF28 3VP,£25–40k,713,Active,Spouse
CUST00255,82,Female,Leeds,M45 9LD,£15–25k,668,Active,Spouse
CUST00256,55,Male,Glasgow,BT29 7RY,>£60k,810,Active,Spouse
CUST00257,53,Female,Belfast,BT87 9AT,>£60k,766,Active,Spouse
CUST00258,57,Female,Glasgow,SW24 5WY,£40–60k,730,Active,Spouse
CUST00259,65,Male,Glasgow,L45 1FE,>£60k,738,Active,Spouse
CUST00260,42,Male,Belfast,BS9 3XU,£40–60k,708,Active,Spouse
CUST00261,50,Female,London,M96 9GM,£25–40k,676,Active,Spouse
CUST00262,47,Female,Bristol,EH44 3LJ,£15–25k,702,Active,Spouse
CUST00263,54,Female,Liverpool,BT77 2BE,<£15k,829,Active,Spouse
CUST00264,48,Female,Birmingham,BT7 2IO,£15–25k,794,Active,Spouse
CUST00265,54,Male,Bristol,EH78 8NI,>£60k,711,Active,Spouse
CUST00266,38,Male,Leeds,CF15 6ND,£40–60k,711,Active,Spouse
CUST00267,46,Male,Glasgow,BT63 9VJ,£25–40k,657,Active,Spouse
CUST00268,36,Female,London,LS51 1AG,<£15k,722,Active,Spouse
CUST00269,68,Female,Glasgow,LS99 3YI,£25–40k,696,Active,Spouse
CUST00270,23,Male,Glasgow,L16 1PX,£40–60k,568,Active,Spouse
CUST00271,29,Male,Bristol,B17 7RW,£40–60k,742,Active,Spouse
CUST00272,25,Female,Leeds,CF72 6CM,<£15k,752,Active,Spouse
CUST00273,54,Male,London,BS3 8CK,£25–40k,694,Active,Spouse
CUST00274,22,Female,Belfast,BS74 7WU,£25–40k,658,Active,Spouse
CUST00275,41,Male,Bristol,G15 7AK,<£15k,721,Active,Spouse
CUST00276,26,Female,Birmingham,BT59 6CN,£25–40k,786,Active,Spouse
CUST00277,50,Female,Manchester,LS56 7QC,£40–60k,727,Active,Spouse
CUST00278,54,Male,Bristol,G96 6HK,<£15k,779,Active,Spouse
CUST00279,47,Female,Birmingham,M66 2QQ,£25–40k,742,Active,Spouse
CUST00280,34,Male,Leeds,L45 3HD,£25–40k,808,Active,Spouse
CUST00281,46,Male,Birmingham,G26 3TE,£40–60k,659,Active,Spouse
CUST00282,38,Male,Manchester,B99 8OY,<£15k,586,Active,Spouse
CUST00283,38,Female,Belfast,BT58 6UK,£15–25k,554,Active,Spouse
CUST00284,56,Female,Birmingham,EH9 8OU,<£15k,725,Active,Spouse
CUST00285,30,Male,Glasgow,G76 1LQ,>£60k,697,Active,Spouse
CUST00286,44,Female,Manchester,G60 8BB,£40–60k,630,Active,Spouse
CUST00287,41,Male,Liverpool,G10 2TT,£25–40k,701,Active,Spouse
CUST00288,41,Male,Cardiff,BS60 9ZX,<£15k,659,Active,Spouse
CUST00289,29,Female,London,EH74 4KT,£40–60k,683,Active,Spouse
CUST00290,36,Male,Edinburgh,CF20 1OD,<£15k,734,Active,Spouse
CUST00291,65,Male,Liverpool,M65 3BH,>£60k,755,Active,Spouse
CUST00292,45,Female,Edinburgh,EH68 9TF,>£60k,661,Active,Spouse
CUST00293,58,Male,Liverpool,L37 7NY,£40–60k,738,Active,Spouse
CUST00294,64,Male,Liverpool,BT7 6CK,£25–40k,711,Active,Spouse
CUST00295,71,Male,Manchester,CF87 7JI,<£15k,711,Active,Spouse
CUST00296,35,Female,Belfast,B43 2SV,£15–25k,670,Active,Spouse
CUST00297,52,Female,Birmingham,L40 7ET,£25–40k,665,Active,Spouse
CUST00298,70,Male,Manchester,G72 7UZ,>£60k,726,Active,Spouse
CUST00299,45,Male,Liverpool,B86 9CU,£40–60k,707,Active,Spouse
CUST00300,41,Female,Bristol,CF47 1LJ,£40–60k,599,Active,Spouse
CUST00301,37,Male,Birmingham,LS44 8GH,£15–25k,794,Active,Spouse
CUST00302,48,Male,Birmingham,B10 5ZD,£40–60k,762,Active,Spouse
CUST00303,61,Female,Cardiff,CF95 9BV,£25–40k,697,Active,Spouse
CUST00304,54,Female,Liverpool,BT17 7EF,£15–25k,605,Active,Spouse
CUST00305,67,Female,Birmingham,BT22 8BN,<£15k,782,Active,Spouse
CUST00306,52,Male,Liverpool,LS57 5YX,£15–25k,715,Active,Spouse
CUST00307,44,Male,Edinburgh,LS69 4JZ,>£60k,770,Active,Spouse
CUST00308,56,Male,Edinburgh,LS48 8OY,£25–40k,529,Active,Spouse
CUST00309,39,Female,Glasgow,BS65 9NF,£15–25k,632,Active,Spouse
CUST00310,25,Female,Leeds,BT18 5BU,<£15k,769,Active,Spouse
CUST00311,44,Male,Edinburgh,L71 2WQ,<£15k,728,Active,Spouse
CUST00312,46,Male,Manchester,G11 3IO,£40–60k,623,Active,Spouse
CUST00313,21,Female,Cardiff,B56 2HO,£40–60k,674,Active,Spouse
CUST00314,39,Male,Liverpool,SW54 1MQ,£40–60k,679,Active,Spouse
CUST00315,40,Female,Liverpool,LS50 2LH,£40–60k,824,Active,Spouse
CUST00316,60,Male,London,L13 6ZE,<£15k,714,Active,Spouse
CUST00317,43,Female,Birmingham,SW37 8WE,>£60k,697,Active,Spouse
CUST00318,55,Male,Edinburgh,EH79 1CA,£25–40k,695,Active,Spouse
CUST00319,58,Male,Glasgow,LS20 9XT,£25–40k,720,Active,Spouse
CUST00320,76,Male,Cardiff,BS15 5HJ,<£15k,691,Active,Spouse
CUST00321,61,Male,Manchester,SW31 7UZ,£40–60k,637,Active,Spouse
CUST00322,35,Female,Belfast,EH9 2PT,<£15k,814,Active,Spouse
CUST00323,58,Female,Cardiff,SW81 9SH,£40–60k,729,Active,Spouse
CUST00324,81,Female,Birmingham,G55 1TL,£25–40k,696,Active,Spouse
CUST00325,61,Male,Leeds,BT54 3VV,£40–60k,771,Active,Spouse
CUST00326,69,Male,Manchester,CF47 2QR,£40–60k,631,Active,Spouse
CUST00327,44,Female,Cardiff,CF71 1MP,£40–60k,719,Active,Spouse
CUST00328,69,Female,London,BS48 5XA,£25–40k,727,Active,Spouse
CUST00329,62,Female,Liverpool,M45 4XV,£40–60k,626,Active,Spouse
CUST00330,40,Female,Manchester,BT95 6EB,<£15k,782,Active,Spouse
CUST00331,42,Male,Liverpool,CF44 3YV,£15–25k,700,Active,Spouse
CUST00332,68,Male,Edinburgh,EH81 3ZE,£25–40k,649,Active,Spouse
CUST00333,35,Male,Manchester,EH5 5GB,<£15k,620,Active,Spouse
CUST00334,69,Female,Leeds,SW41 5QM,£25–40k,760,Active,Spouse
CUST00335,59,Female,Cardiff,EH33 1YU,£25–40k,680,Active,Spouse
CUST00336,24,Female,Leeds,G46 1UK,£25–40k,601,Active,Spouse
CUST00337,65,Female,Glasgow,M48 7MX,£40–60k,733,Active,Spouse
CUST00338,56,Male,Edinburgh,BS44 3PW,>£60k,716,Active,Spouse
CUST00339,33,Male,Edinburgh,L67 5ZC,£15–25k,683,Active,Spouse
CUST00340,30,Female,Bristol,M56 3RJ,£25–40k,633,Active,Spouse
CUST00341,58,Female,Liverpool,M11 6VJ,£15–25k,605,Active,Spouse
CUST00342,30,Male,Glasgow,EH78 7FW,£40–60k,686,Active,Spouse
CUST00343,46,Female,Edinburgh,L58 1XL,<£15k,619,Active,Spouse
CUST00344,21,Female,Belfast,BS36 1CV,£25–40k,726,Active,Spouse
CUST00345,48,Male,Bristol,L66 3AE,£25–40k,781,Active,Spouse
CUST00346,46,Female,Belfast,EH5 3CH,>£60k,732,Active,Spouse
CUST00347,34,Female,Liverpool,L50 1TE,£25–40k,660,Active,Spouse
CUST00348,26,Female,Edinburgh,L48 8YC,£15–25k,658,Active,Spouse
