PolicyID,CustomerID,Product,CoverageAmount,PremiumAmount,PolicyTermYears,Status,PolicyStartDate,PolicyLapseDate,BeneficiaryRelation
POL00047,CUST02083,Term Life,228818.91,103.2,30,Active,2025-10-26,,Other
POL00048,CUST03822,Term Life,214029.99,48.19,30,Active,2024-05-26,,Spouse
POL00049,CUST03857,Term Life,89062.5,20.0,10,Active,2023-07-24,,Child
POL00050,CUST04688,Whole Life,200000.0,32.35,5,Active,2022-05-21,,Other
POL00051,CUST04995,Critical Illness,229575.91,40.29,10,Lapsed,2022-01-15,2022-06-06,Parent
POL00052,CUST00630,Term Life,47968.01,20.0,20,Active,2025-02-19,,Spouse
POL00053,CUST02348,Whole Life,237414.86,25.85,20,Active,2023-02-26,,Spouse
POL00054,CUST02240,Term Life,108159.89,69.75,20,Active,2022-07-23,,Child
POL00055,CUST01666,Term Life,116517.7,20.0,10,Active,2024-08-01,,Spouse
POL00056,CUST01052,Term Life,69978.79,20.0,30,Active,2023-12-18,,Child
POL00057,CUST01977,Endowment,175361.17,74.86,10,Active,2023-01-14,,Spouse
POL00058,CUST02849,Term Life,342973.73,54.14,30,Active,2022-12-19,,Parent
POL00059,CUST04793,Term Life,200000.0,41.67,20,Active,2022-03-18,,Parent
POL00060,CUST03404,Critical Illness,90135.74,41.67,5,Active,2022-08-20,,Spouse
POL00061,CUST03403,Unit-linked,166373.0,20.0,5,Active,2022-02-05,,Spouse
POL00062,CUST01970,Term Life,168682.32,49.0,10,Active,2023-01-26,,Child
POL00063,CUST01048,Term Life,144279.09,20.0,20,Active,2023-01-09,,Spouse
POL00064,CUST04458,Term Life,123634.69,41.67,23,Active,2023-01-24,,Trust/Charity
POL00065,CUST01808,Term Life,232396.39,20.64,10,Active,2024-08-20,,Spouse
POL00066,CUST00768,Endowment,58599.35,26.76,20,Active,2022-08-11,,Child
POL00067,CUST02493,Term Life,77349.96,20.0,20,Active,2022-07-09,,Parent
POL00068,CUST01345,Whole Life,105632.09,23.32,10,Active,2024-01-03,,Spouse
POL00069,CUST03239,Term Life,143289.21,28.68,23,Active,2024-07-05,,Child
POL00070,CUST00430,Annuity,196357.19,20.0,25,Active,2025-01-08,,Child
POL00071,CUST01787,Term Life,374585.96,20.0,20,Active,2024-01-24,,Other
POL00072,CUST03124,Annuity,178719.44,20.0,20,Active,2024-11-12,,Spouse
POL00073,CUST01496,Term Life,145332.08,61.02,10,Active,2025-08-28,,Spouse
POL00074,CUST00759,Term Life,40530.88,49.4,20,Active,2022-01-07,,Spouse
POL00075,CUST04485,Term Life,87176.21,34.89,30,Lapsed,2024-03-11,2023-07-25,Spouse
POL00076,CUST02363,Whole Life,54326.68,20.0,30,Active,2025-05-16,,Child
POL00077,CUST04369,Whole Life,400000.0,36.65,30,Active,2022-04-10,,Child
POL00078,CUST01975,Whole Life,270281.04,20.0,5,Active,2024-02-12,,Spouse
POL00079,CUST00685,Term Life,137345.66,80.13,20,Active,2024-08-19,,Spouse
POL00080,CUST01219,Term Life,119280.26,39.97,5,Active,2024-02-23,,Spouse
POL00081,CUST03751,Whole Life,42163.09,20.0,20,Lapsed,2024-08-07,2022-07-01,Spouse
POL00082,CUST04777,Endowment,109524.37,20.0,20,Active,2025-04-16,,Parent
POL00083,CUST03480,Endowment,79503.57,85.45,10,Active,2023-01-02,,Spouse
POL00084,CUST03063,Unit-linked,138920.22,20.0,20,Active,2022-01-24,,Child
POL00085,CUST03935,Whole Life,90193.77,79.43,10,Active,2024-02-07,,Spouse
POL00086,CUST02658,Term Life,87462.07,27.66,10,Active,2022-01-09,,Child
POL00087,CUST03943,Unit-linked,99236.92,41.67,10,Lapsed,2022-03-26,2022-08-15,Spouse
POL00088,CUST00797,Annuity,60572.12,38.22,30,Active,2025-01-21,,Spouse
POL00089,CUST03467,Unit-linked,89950.01,20.0,20,Lapsed,2025-06-27,2022-06-28,Other
POL00090,CUST03504,Unit-linked,56326.06,43.31,20,Active,2023-11-08,,Trust/Charity
POL00091,CUST00590,Whole Life,113810.56,92.91,20,Active,2023-05-23,,Spouse
POL00092,CUST00100,Whole Life,135255.14,76.0,20,Lapsed,2023-01-07,2025-07-21,Spouse
POL00093,CUST02745,Term Life,120288.03,41.67,30,Active,2024-01-27,,Child
POL00094,CUST02361,Endowment,147487.71,50.36,30,Active,2024-02-26,,Spouse
POL00095,CUST03307,Whole Life,84913.12,61.98,20,Lapsed,2022-01-11,2024-08-19,Parent
POL00096,CUST00156,Unit-linked,261538.29,20.0,10,Active,2025-01-14,,Child
POL00097,CUST01685,Annuity,53483.84,113.79,10,Active,2023-09-05,,Spouse
POL00098,CUST00306,Term Life,249950.69,42.46,5,Active,2024-01-08,,Spouse
POL00099,CUST04809,Term Life,87497.18,46.56,10,Active,2023-01-02,,Spouse
POL00100,CUST01145,Term Life,90283.25,20.0,20,Lapsed,2022-02-28,2023-07-18,Child
POL00101,CUST02512,Term Life,106672.87,157.54,30,Active,2022-01-07,,Spouse
POL00102,CUST01427,Whole Life,78778.73,55.05,30,Active,2025-09-04,,Child
POL00103,CUST01296,Whole Life,102230.56,21.07,20,Active,2024-01-11,,Spouse
POL00104,CUST03372,Term Life,321872.9,20.0,20,Active,2023-06-07,,Spouse
POL00105,CUST04100,Whole Life,44400.64,20.0,5,Active,2025-05-14,,Spouse
POL00106,CUST01419,Annuity,124817.91,54.17,5,Active,2025-09-14,,Spouse
POL00107,CUST00446,Term Life,62583.84,42.52,18,Active,2024-10-08,,Spouse
POL00108,CUST03879,Unit-linked,101571.97,20.0,20,Active,2024-04-22,,Spouse
POL00109,CUST02953,Endowment,74631.96,41.67,20,Active,2025-01-27,,Trust/Charity
POL00110,CUST03315,Whole Life,228064.44,32.27,10,Active,2024-02-23,,Trust/Charity
POL00111,CUST03142,Term Life,123789.42,62.28,5,Active,2024-07-27,,Other
POL00112,CUST00543,Term Life,125720.65,20.0,10,Active,2023-07-12,,Child
POL00113,CUST04185,Term Life,86605.4,21.53,20,Active,2025-01-14,,Other
POL00114,CUST02183,Term Life,141133.69,20.76,18,Active,2023-06-08,,Spouse
POL00115,CUST03038,Term Life,190188.41,20.0,20,Active,2025-01-25,,Child
POL00116,CUST02218,Term Life,148930.58,31.6,10,Active,2025-07-24,,Other
POL00117,CUST01911,Whole Life,126142.34,20.0,30,Active,2025-09-05,,Spouse
POL00118,CUST04723,Unit-linked,175665.96,20.0,30,Active,2023-06-05,,Other
POL00119,CUST03180,Term Life,79725.08,20.0,5,Active,2023-10-10,,Spouse
POL00120,CUST03889,Term Life,136574.65,35.87,20,Active,2025-01-28,,Trust/Charity
POL00121,CUST03427,Term Life,490507.54,25.85,5,Active,2023-12-11,,Child
POL00122,CUST02347,Annuity,122869.03,29.96,8,Active,2025-06-08,,Child
POL00123,CUST00829,Whole Life,45873.45,46.21,20,Active,2023-09-10,,Spouse
POL00124,CUST04835,Term Life,84309.5,43.53,10,Active,2022-10-14,,Parent
POL00125,CUST01839,Whole Life,66908.12,119.96,20,Active,2022-09-04,,Child
POL00126,CUST04221,Whole Life,180158.28,33.37,30,Lapsed,2025-12-03,2022-07-26,Spouse
POL00127,CUST01705,Unit-linked,217206.52,83.33,5,Active,2022-07-16,,Child
POL00128,CUST00033,Critical Illness,199565.06,41.67,10,Active,2025-05-27,,Spouse
POL00129,CUST04537,Term Life,210017.65,20.0,20,Active,2023-01-13,,Child
POL00130,CUST04700,Term Life,97083.59,27.25,20,Active,2023-01-04,,Spouse
POL00131,CUST01609,Term Life,158279.59,83.74,10,Active,2025-05-13,,Spouse
POL00132,CUST02277,Term Life,113944.26,34.56,30,Active,2023-12-13,,Spouse
POL00133,CUST02429,Whole Life,144878.26,20.0,5,Active,2023-07-27,,Parent
POL00134,CUST00891,Whole Life,200000.0,35.27,30,Active,2024-12-01,,Other
POL00135,CUST04691,Term Life,50849.21,31.4,17,Active,2022-11-22,,Spouse
POL00136,CUST03139,Whole Life,175218.29,41.67,10,Active,2025-10-03,,Spouse
POL00137,CUST03698,Term Life,61974.44,32.35,20,Active,2025-01-22,,Child
POL00138,CUST01836,Term Life,139151.66,84.16,10,Active,2023-01-20,,Child
POL00139,CUST00859,Endowment,257672.28,20.0,10,Active,2023-02-12,,Spouse
POL00140,CUST04679,Critical Illness,146005.26,59.28,17,Active,2025-01-25,,Other
POL00141,CUST02229,Annuity,650000.0,23.87,20,Active,2022-01-07,,Spouse
POL00142,CUST02229,Term Life,190933.09,49.4,30,Active,2025-04-22,,Spouse
POL00143,CUST03948,Term Life,122715.67,29.19,30,Active,2024-04-18,,Child
POL00144,CUST02305,Endowment,123260.73,20.57,7,Active,2024-01-03,,Spouse
POL00145,CUST03556,Term Life,149083.36,22.72,30,Active,2022-04-03,,Parent
POL00146,CUST04459,Annuity,144491.6,36.3,20,Active,2025-01-01,,Child
POL00147,CUST04737,Term Life,101102.26,45.71,5,Lapsed,2022-10-25,2024-08-06,Other
POL00148,CUST00316,Annuity,200000.0,20.0,25,Active,2025-01-28,,Spouse
POL00149,CUST04458,Endowment,91878.81,41.67,5,Active,2022-12-20,,Spouse
POL00150,CUST01182,Term Life,144161.7,27.75,20,Active,2023-01-09,,Other
POL00151,CUST02696,Term Life,469559.22,20.2,30,Active,2023-05-02,,Child
POL00152,CUST01617,Term Life,104746.02,41.67,5,Active,2022-01-23,,Spouse
POL00153,CUST00787,Endowment,139646.49,24.56,20,Active,2022-10-07,,Other
POL00154,CUST03130,Term Life,101160.57,20.0,20,Active,2024-01-26,,Child
POL00155,CUST00707,Whole Life,201055.25,48.83,29,Active,2023-02-05,,Spouse
POL00156,CUST00800,Annuity,200000.0,20.0,17,Active,2022-05-05,,Parent
POL00157,CUST00035,Term Life,225137.92,55.41,5,Active,2022-01-10,,Spouse
POL00158,CUST01085,Annuity,188264.29,83.33,20,Active,2024-08-11,,Spouse
POL00159,CUST03969,Term Life,54734.65,32.99,10,Active,2023-02-14,,Child
POL00160,CUST04178,Whole Life,179169.83,20.0,4,Active,2024-07-28,,Child
POL00161,CUST01956,Unit-linked,128976.98,20.0,20,Active,2022-02-21,,Spouse
POL00162,CUST00910,Term Life,83885.19,20.0,30,Active,2022-07-26,,Spouse
POL00163,CUST02345,Whole Life,167503.83,58.72,20,Active,2023-01-04,,Trust/Charity
POL00164,CUST00392,Unit-linked,414911.98,20.0,30,Active,2023-01-03,,Trust/Charity
POL00165,CUST01784,Term Life,100608.38,58.86,20,Active,2025-07-22,,Spouse
POL00166,CUST00544,Term Life,145582.2,83.33,10,Active,2024-05-11,,Spouse
POL00167,CUST02647,Term Life,209809.76,28.69,10,Active,2025-01-24,,Child
POL00168,CUST00614,Annuity,200000.0,20.0,10,Active,2024-01-10,,Spouse
POL00169,CUST00532,Whole Life,130268.75,41.67,30,Active,2024-08-17,,Other
POL00170,CUST02940,Term Life,368750.27,20.0,20,Active,2024-10-17,,Spouse
POL00171,CUST04897,Annuity,105641.81,83.33,20,Active,2022-01-01,,Spouse
POL00172,CUST04840,Term Life,169211.94,20.0,20,Active,2024-12-14,,Spouse
POL00173,CUST03292,Term Life,604299.12,36.4,5,Active,2024-01-25,,Spouse
POL00174,CUST01193,Term Life,186555.65,20.0,10,Active,2025-03-21,,Spouse
POL00175,CUST03732,Unit-linked,132060.81,20.0,30,Active,2025-01-05,,Child
POL00176,CUST02962,Whole Life,108277.99,31.99,20,Active,2024-01-13,,Child
POL00177,CUST00350,Term Life,200000.0,31.37,10,Active,2024-01-04,,Child
POL00178,CUST00041,Term Life,176884.02,45.44,30,Active,2025-07-28,,Spouse
POL00179,CUST00331,Term Life,296763.09,20.0,20,Active,2025-09-25,,Trust/Charity
POL00180,CUST00042,Term Life,196070.24,135.42,10,Active,2025-01-14,,Child
POL00181,CUST00483,Term Life,122441.74,46.22,27,Active,2025-02-05,,Child
POL00182,CUST00063,Term Life,107420.5,26.67,20,Active,2023-03-17,,Spouse
POL00183,CUST00997,Term Life,100506.02,41.44,20,Active,2023-11-05,,Spouse
POL00184,CUST01482,Unit-linked,120277.03,20.0,20,Lapsed,2023-01-10,2024-07-11,Child
POL00185,CUST01274,Unit-linked,92802.17,20.0,30,Lapsed,2024-06-02,2022-06-24,Child
POL00186,CUST04540,Term Life,139746.72,41.18,30,Active,2022-10-08,,Child
POL00187,CUST00833,Term Life,330162.73,32.27,20,Lapsed,2024-04-22,2024-06-11,Trust/Charity
POL00188,CUST03629,Term Life,48349.87,22.11,20,Lapsed,2023-03-27,2025-07-04,Other
POL00189,CUST02944,Term Life,48653.31,65.53,10,Active,2022-09-20,,Spouse
POL00190,CUST00239,Term Life,87959.39,32.23,20,Lapsed,2022-01-28,2024-06-20,Spouse
POL00191,CUST02356,Term Life,173798.52,34.1,20,Active,2024-12-08,,Child
POL00192,CUST02727,Endowment,180519.82,41.05,10,Active,2022-03-21,,Other
POL00193,CUST03846,Term Life,124711.71,38.69,30,Active,2024-08-24,,Trust/Charity
POL00194,CUST01055,Term Life,111968.74,20.0,30,Active,2022-03-21,,Child
POL00195,CUST04550,Whole Life,88838.29,53.83,10,Active,2022-04-13,,Spouse
POL00196,CUST02820,Whole Life,94742.12,20.0,30,Active,2022-09-22,,Spouse
POL00197,CUST03806,Whole Life,87193.75,29.4,20,Active,2023-02-04,,Spouse
POL00198,CUST03642,Unit-linked,71103.11,20.0,21,Active,2025-04-20,,Parent
POL00199,CUST02719,Endowment,276831.67,25.92,20,Active,2025-06-26,,Spouse
POL00200,CUST04687,Term Life,97910.63,25.04,10,Active,2024-01-06,,Spouse
POL00201,CUST00005,Unit-linked,145064.76,54.17,30,Active,2025-10-19,,Spouse
POL00202,CUST02441,Critical Illness,84495.57,33.38,10,Active,2025-03-01,,Spouse
POL00203,CUST00397,Term Life,106442.45,29.56,10,Active,2025-07-08,,Spouse
POL00204,CUST03041,Annuity,84169.91,20.0,20,Active,2022-01-13,,Other
POL00205,CUST03638,Term Life,107837.37,41.67,10,Active,2025-04-22,,Spouse
POL00206,CUST02448,Whole Life,317053.73,20.0,10,Active,2022-09-05,,Child
POL00207,CUST04194,Term Life,200000.0,20.0,20,Active,2025-08-20,,Spouse
POL00208,CUST03258,Unit-linked,76232.82,57.03,30,Active,2025-05-25,,Child
POL00209,CUST01477,Term Life,143032.86,20.0,10,Active,2024-01-22,,Spouse
POL00210,CUST01153,Term Life,79547.4,41.67,30,Active,2023-03-10,,Spouse
POL00211,CUST00261,Term Life,190785.45,82.22,10,Active,2023-08-10,,Spouse
POL00212,CUST02711,Term Life,48019.45,64.99,20,Active,2022-07-11,,Child
POL00213,CUST02308,Term Life,71475.96,20.19,20,Active,2022-10-13,,Child
POL00214,CUST04087,Term Life,86311.05,50.14,30,Active,2022-07-06,,Spouse
POL00215,CUST03022,Term Life,241587.7,50.44,20,Active,2023-04-08,,Child
POL00216,CUST02768,Unit-linked,180920.01,50.68,20,Active,2024-05-06,,Parent
POL00217,CUST00676,Annuity,86650.81,30.57,20,Active,2023-09-17,,Spouse
POL00218,CUST00377,Term Life,48105.16,41.67,20,Active,2025-03-13,,Parent
POL00219,CUST04915,Term Life,162235.75,42.0,10,Active,2023-01-04,,Spouse
POL00220,CUST01285,Term Life,174361.02,41.67,10,Active,2022-03-10,,Child
POL00221,CUST03801,Term Life,136727.39,33.05,10,Active,2022-03-12,,Other
POL00222,CUST04836,Unit-linked,222609.97,84.24,10,Active,2025-01-13,,Parent
POL00223,CUST03889,Term Life,116455.79,20.0,5,Active,2025-01-08,,Spouse
POL00224,CUST02907,Term Life,167441.26,45.63,20,Active,2022-04-27,,Child
POL00225,CUST01285,Whole Life,200000.0,20.0,20,Active,2024-05-01,,Child
POL00226,CUST00369,Whole Life,74156.58,97.87,30,Active,2022-11-04,,Spouse
POL00227,CUST01994,Unit-linked,80625.54,25.88,20,Active,2023-01-16,,Spouse
POL00228,CUST00694,Unit-linked,406469.7,20.0,10,Lapsed,2022-01-21,2024-07-04,Spouse
POL00229,CUST03086,Term Life,353723.51,71.89,20,Active,2024-01-13,,Trust/Charity
POL00230,CUST02300,Whole Life,120375.46,25.15,10,Active,2024-02-12,,Child
POL00231,CUST02532,Term Life,340306.21,46.28,30,Active,2025-01-19,,Other
POL00232,CUST01168,Term Life,64067.37,20.0,10,Active,2024-01-26,,Child
POL00233,CUST01779,Whole Life,208515.16,20.0,20,Active,2023-01-03,,Spouse
POL00234,CUST03839,Term Life,137448.16,66.32,10,Active,2022-09-10,,Spouse
POL00235,CUST02372,Term Life,114663.29,23.36,5,Lapsed,2023-05-15,2022-08-10,Parent
POL00236,CUST02889,Term Life,199668.71,20.0,12,Active,2022-01-03,,Spouse
POL00237,CUST03505,Term Life,109411.15,30.7,5,Lapsed,2025-12-11,2023-08-16,Parent
POL00238,CUST03424,Whole Life,200000.0,41.67,21,Active,2022-01-26,,Other
POL00239,CUST02630,Endowment,41787.79,27.8,20,Lapsed,2025-01-22,2022-06-05,Child
POL00240,CUST00932,Whole Life,183113.87,20.0,14,Active,2025-11-01,,Child
POL00241,CUST03502,Term Life,57278.08,26.5,30,Active,2023-01-05,,Child
POL00242,CUST03983,Term Life,141051.02,27.85,10,Active,2024-01-19,,Trust/Charity
POL00243,CUST03101,Term Life,236806.74,20.0,10,Active,2024-09-21,,Parent
POL00244,CUST03392,Term Life,134383.07,34.67,29,Active,2025-01-03,,Spouse
POL00245,CUST01247,Term Life,218376.74,80.05,10,Lapsed,2022-04-02,2023-07-27,Spouse
POL00246,CUST02757,Term Life,51663.3,74.16,10,Active,2023-04-28,,Spouse
POL00247,CUST00599,Term Life,41635.98,20.0,10,Active,2024-01-14,,Child
POL00248,CUST04114,Whole Life,88726.76,31.99,30,Active,2023-07-05,,Trust/Charity
POL00249,CUST04385,Term Life,75536.86,41.67,10,Active,2025-02-22,,Spouse
POL00250,CUST04070,Term Life,239461.03,38.38,10,Active,2022-10-11,,Spouse
POL00251,CUST04290,Endowment,84149.62,21.62,20,Active,2022-01-04,,Spouse
POL00252,CUST00248,Unit-linked,58927.32,109.83,20,Active,2023-06-23,,Trust/Charity
POL00253,CUST02398,Term Life,115031.46,20.0,5,Active,2025-01-28,,Child
POL00254,CUST01804,Term Life,131388.49,20.28,30,Active,2022-06-26,,Spouse
POL00255,CUST01499,Term Life,133715.68,35.27,20,Active,2024-06-08,,Spouse
POL00256,CUST02039,Term Life,25000.0,49.2,10,Active,2025-06-11,,Spouse
POL00257,CUST03161,Term Life,87356.95,33.44,10,Active,2024-07-17,,Other
POL00258,CUST02404,Term Life,147933.9,25.14,5,Active,2023-03-09,,Child
POL00259,CUST04732,Whole Life,288637.33,59.54,5,Active,2022-06-01,,Child
POL00260,CUST01131,Term Life,175619.43,29.47,20,Active,2023-07-19,,Trust/Charity
POL00261,CUST03138,Term Life,86215.0,32.26,20,Active,2022-06-05,,Spouse
POL00262,CUST00444,Term Life,224539.98,20.0,10,Active,2025-03-14,,Parent
POL00263,CUST01469,Term Life,125737.33,24.54,30,Lapsed,2024-04-23,2025-08-25,Spouse
POL00264,CUST01765,Term Life,81568.52,71.21,20,Active,2023-05-03,,Spouse
POL00265,CUST00903,Term Life,108215.01,20.0,27,Active,2024-11-01,,Parent
POL00266,CUST01604,Term Life,122309.03,39.7,10,Active,2025-08-18,,Child
POL00267,CUST00051,Whole Life,143420.06,23.08,20,Active,2025-06-24,,Child
POL00268,CUST01121,Unit-linked,294194.93,54.94,10,Active,2024-09-23,,Child
POL00269,CUST01667,Annuity,73419.13,20.0,10,Active,2023-01-03,,Child
POL00270,CUST04550,Critical Illness,52089.37,60.68,20,Active,2023-03-07,,Child
POL00271,CUST01278,Whole Life,170431.88,20.0,20,Lapsed,2024-10-11,2025-07-13,Spouse
POL00272,CUST03647,Term Life,95556.31,41.84,10,Active,2023-01-14,,Child
POL00273,CUST04261,Whole Life,185939.48,83.74,20,Active,2022-01-03,,Other
POL00274,CUST01241,Term Life,94327.68,23.87,20,Active,2022-01-24,,Child
POL00275,CUST02393,Term Life,54628.04,41.67,10,Active,2023-05-13,,Child
POL00276,CUST04449,Endowment,200000.0,20.0,5,Active,2023-01-14,,Other
POL00277,CUST04720,Term Life,79724.75,35.27,30,Active,2023-09-23,,Parent
POL00278,CUST03321,Annuity,179045.25,83.33,20,Active,2022-12-23,,Spouse
POL00279,CUST02748,Term Life,190478.99,37.73,20,Active,2024-05-14,,Other
POL00280,CUST04910,Unit-linked,36551.06,39.9,17,Active,2024-01-14,,Spouse
POL00281,CUST00425,Term Life,141359.64,28.27,15,Active,2023-01-05,,Child
POL00282,CUST00766,Whole Life,93795.82,110.31,5,Active,2024-04-02,,Trust/Charity
POL00283,CUST00007,Term Life,168198.62,41.67,5,Active,2024-01-10,,Trust/Charity
POL00284,CUST03892,Endowment,118207.12,83.33,20,Active,2022-09-18,,Spouse
POL00285,CUST01775,Whole Life,139979.62,20.0,20,Active,2022-12-10,,Other
POL00286,CUST00558,Whole Life,176821.16,26.77,20,Active,2022-01-09,,Child
POL00287,CUST02855,Term Life,211928.67,24.62,20,Active,2024-09-03,,Spouse
POL00288,CUST02704,Whole Life,66972.07,66.26,5,Active,2022-01-09,,Spouse
POL00289,CUST01779,Term Life,102877.29,23.86,20,Active,2024-08-12,,Trust/Charity
POL00290,CUST01614,Endowment,160512.14,30.37,20,Active,2022-01-04,,Child
POL00291,CUST04229,Term Life,56245.01,23.66,20,Active,2024-07-15,,Child
POL00292,CUST03692,Term Life,88373.22,41.67,20,Lapsed,2022-01-20,2025-08-04,Child
POL00293,CUST03316,Annuity,217643.09,28.12,30,Active,2023-09-16,,Child
POL00294,CUST03571,Whole Life,145944.38,20.0,10,Active,2024-01-17,,Spouse
POL00295,CUST03475,Whole Life,126142.97,41.67,20,Active,2025-09-04,,Child
POL00296,CUST03157,Term Life,191597.22,20.0,5,Active,2023-10-22,,Child
POL00297,CUST03390,Annuity,341505.94,24.7,15,Active,2022-01-24,,Spouse
POL00298,CUST04393,Term Life,91961.89,28.99,20,Active,2023-01-09,,Child
POL00299,CUST04416,Term Life,53108.66,20.0,10,Active,2024-01-14,,Child
POL00300,CUST01228,Term Life,200000.0,25.47,10,Active,2024-04-08,,Child
POL00301,CUST04739,Term Life,200000.0,20.0,20,Active,2023-09-10,,Child
POL00302,CUST03278,Whole Life,230330.12,41.29,5,Active,2025-02-25,,Child
POL00303,CUST00354,Term Life,139070.86,20.0,20,Active,2024-01-18,,Spouse
POL00304,CUST03484,Whole Life,25000.0,23.95,10,Active,2023-08-01,,Spouse
POL00305,CUST01658,Term Life,81070.67,41.29,5,Active,2024-01-07,,Child
POL00306,CUST03784,Term Life,66839.62,28.17,20,Active,2025-01-14,,Parent
POL00307,CUST01818,Unit-linked,109797.62,36.74,20,Active,2024-02-26,,Spouse
POL00308,CUST00501,Term Life,190595.43,20.89,20,Active,2023-01-28,,Child
POL00309,CUST02456,Whole Life,109705.71,20.0,20,Active,2022-04-26,,Child
POL00310,CUST01560,Endowment,237112.66,20.0,20,Active,2025-01-05,,Child
POL00311,CUST00065,Term Life,213559.83,83.33,10,Active,2023-04-16,,Spouse
POL00312,CUST03843,Endowment,106899.93,25.01,26,Active,2022-12-04,,Child
POL00313,CUST04106,Term Life,228530.49,135.42,30,Active,2023-06-23,,Child
POL00314,CUST04128,Annuity,188999.3,20.0,5,Active,2022-04-25,,Spouse
POL00315,CUST00679,Whole Life,138381.14,25.46,30,Active,2022-01-27,,Spouse
POL00316,CUST02282,Term Life,165591.91,37.57,20,Active,2024-01-22,,Child
POL00317,CUST01774,Term Life,183185.41,25.06,20,Active,2024-01-24,,Child
